CustID,Cor_Bo,Cor_Ca,Die_Bo,Ass_Ca,HD_Cor,Total_Rev,Cor_Bo_COGS,Cor_Ca_COGS,Die_Bo_COGS,Ass_Ca_COGS,HD_Cor_COGS,Total_COGS,Ships,Orders,ExpOr,Queries,Design
1," $47,132 "," $112,168 "," $101,850 "," $90,901 "," $11,016 "," $363,066 "," $11,076 "," $48,232 "," $63,656 "," $74,357 "," $9,011 "," $206,332 ",194,97,84,1319,381
2," $44,190 "," $103,648 "," $118,227 "," $79,286 "," $9,915 "," $355,265 "," $10,385 "," $44,569 "," $73,892 "," $64,856 "," $8,110 "," $201,811 ",243,81,43,1245,316
3," $55,690 "," $91,717 "," $95,375 "," $79,040 "," $8,908 "," $330,730 "," $13,087 "," $39,438 "," $59,609 "," $64,654 "," $7,287 "," $184,076 ",210,105,119,1305,488
4," $62,441 "," $103,921 "," $106,565 "," $109,620 "," $6,209 "," $388,755 "," $14,674 "," $44,686 "," $66,603 "," $89,669 "," $5,079 "," $220,711 ",219,73,32,1092,249
5," $64,606 "," $91,274 "," $95,956 "," $91,611 "," $12,839 "," $356,287 "," $15,182 "," $39,248 "," $59,973 "," $74,938 "," $10,503 "," $199,843 ",194,97,105,1184,414
6," $54,577 "," $90,491 "," $103,719 "," $105,923 "," $11,190 "," $365,900 "," $12,826 "," $38,911 "," $64,824 "," $86,645 "," $9,153 "," $212,359 ",282,94,80,1281,361
7," $59,975 "," $111,094 "," $101,731 "," $94,308 "," $13,813 "," $380,921 "," $14,094 "," $47,770 "," $63,582 "," $77,144 "," $11,299 "," $213,890 ",208,104,116,1724,467
8," $66,433 "," $95,225 "," $97,808 "," $87,232 "," $8,729 "," $355,426 "," $15,612 "," $40,947 "," $61,130 "," $71,356 "," $7,140 "," $196,184 ",108,108,118,1474,467
9," $73,064 "," $95,259 "," $102,715 "," $102,965 "," $10,926 "," $384,928 "," $17,170 "," $40,962 "," $64,197 "," $84,225 "," $8,937 "," $215,490 ",279,93,78,1474,366
10," $56,705 "," $82,197 "," $98,686 "," $95,323 "," $13,197 "," $346,108 "," $13,326 "," $35,345 "," $61,679 "," $77,974 "," $10,795 "," $199,118 ",94,94,110,1150,422
11," $64,103 "," $92,172 "," $104,664 "," $94,642 "," $12,410 "," $367,990 "," $15,064 "," $39,634 "," $65,415 "," $77,417 "," $10,151 "," $207,681 ",291,97,82,1242,364
12," $60,774 "," $83,913 "," $105,942 "," $59,697 "," $13,476 "," $323,801 "," $14,282 "," $36,082 "," $66,213 "," $48,832 "," $11,023 "," $176,433 ",232,116,137,1168,866
13," $59,310 "," $88,425 "," $116,050 "," $94,047 "," $10,359 "," $368,191 "," $13,938 "," $38,023 "," $72,531 "," $76,930 "," $8,474 "," $209,896 ",99,99,115,1496,451
14," $50,716 "," $95,585 "," $106,190 "," $108,301 "," $13,530 "," $374,322 "," $11,918 "," $41,102 "," $66,369 "," $88,590 "," $11,068 "," $219,046 ",228,76,37,1096,262
15," $61,199 "," $109,333 "," $90,402 "," $94,091 "," $9,403 "," $364,427 "," $14,382 "," $47,013 "," $56,501 "," $76,966 "," $7,692 "," $202,553 ",198,99,115,1485,457
16," $69,077 "," $79,056 "," $108,017 "," $102,370 "," $8,974 "," $367,495 "," $16,233 "," $33,994 "," $67,511 "," $83,739 "," $7,341 "," $208,818 ",156,78,40,1155,283
17," $58,319 "," $91,504 "," $103,761 "," $122,801 "," $10,415 "," $386,799 "," $13,705 "," $39,347 "," $64,851 "," $100,451 "," $8,519 "," $226,872 ",213,71,33,934,229
18," $51,433 "," $103,771 "," $109,963 "," $75,444 "," $9,321 "," $349,931 "," $12,087 "," $44,622 "," $68,727 "," $61,713 "," $7,624 "," $194,772 ",148,74,41,1122,311
19," $62,823 "," $94,901 "," $110,135 "," $87,928 "," $8,407 "," $364,193 "," $14,763 "," $40,807 "," $68,834 "," $71,925 "," $6,877 "," $203,207 ",336,112,125,1745,519
20," $59,682 "," $92,699 "," $109,550 "," $83,984 "," $12,583 "," $358,498 "," $14,025 "," $39,861 "," $68,469 "," $68,699 "," $10,293 "," $201,346 ",234,117,124,1667,520
21," $54,193 "," $97,410 "," $101,325 "," $79,446 "," $8,742 "," $341,115 "," $12,735 "," $41,886 "," $63,328 "," $64,986 "," $7,151 "," $190,087 ",315,105,120,1491,497
22," $72,062 "," $81,061 "," $116,081 "," $93,844 "," $6,876 "," $369,924 "," $16,935 "," $34,856 "," $72,551 "," $76,764 "," $5,624 "," $206,730 ",84,84,84,1311,373
23," $62,057 "," $85,462 "," $97,139 "," $96,034 "," $9,023 "," $349,715 "," $14,583 "," $36,749 "," $60,712 "," $78,555 "," $7,381 "," $197,980 ",288,96,108,1164,413
24," $51,544 "," $77,340 "," $97,339 "," $74,197 "," $9,659 "," $310,079 "," $12,113 "," $33,256 "," $60,837 "," $60,693 "," $7,901 "," $174,800 ",114,114,146,1296,913
25," $65,327 "," $91,387 "," $94,273 "," $72,848 "," $12,068 "," $335,903 "," $15,352 "," $39,296 "," $58,920 "," $59,590 "," $9,872 "," $183,030 ",204,102,112,1158,453
26," $64,852 "," $86,535 "," $100,244 "," $83,781 "," $9,492 "," $344,903 "," $15,240 "," $37,210 "," $62,652 "," $68,533 "," $7,765 "," $191,400 ",105,105,117,1469,482
27," $57,786 "," $80,801 "," $101,721 "," $109,635 "," $9,945 "," $359,886 "," $13,580 "," $34,744 "," $63,575 "," $89,681 "," $8,135 "," $209,715 ",276,92,105,1207,391
28," $63,508 "," $84,667 "," $100,149 "," $62,176 "," $10,429 "," $320,929 "," $14,924 "," $36,407 "," $62,593 "," $50,860 "," $8,531 "," $173,315 ",268,87,168,1493,1211
29," $71,230 "," $63,189 "," $98,046 "," $69,774 "," $7,823 "," $310,062 "," $16,739 "," $27,171 "," $61,278 "," $57,075 "," $6,399 "," $168,663 ",375,125,149,1350,942
30," $67,939 "," $73,562 "," $86,352 "," $106,503 "," $8,425 "," $342,781 "," $15,966 "," $31,632 "," $53,970 "," $87,119 "," $6,892 "," $195,578 ",95,95,112,1257,443
31," $47,213 "," $92,842 "," $106,323 "," $99,702 "," $10,527 "," $356,607 "," $11,095 "," $39,922 "," $66,452 "," $81,556 "," $8,611 "," $207,636 ",176,88,80,1209,363
32," $64,127 "," $93,273 "," $108,301 "," $95,309 "," $10,316 "," $371,325 "," $15,070 "," $40,107 "," $67,688 "," $77,962 "," $8,438 "," $209,266 ",336,112,122,1739,494
33," $57,806 "," $106,873 "," $107,590 "," $114,898 "," $8,939 "," $396,105 "," $13,584 "," $45,955 "," $67,244 "," $93,987 "," $7,312 "," $228,082 ",150,75,37,1236,256
34," $56,033 "," $93,777 "," $92,740 "," $97,527 "," $6,934 "," $347,011 "," $13,168 "," $40,324 "," $57,962 "," $79,777 "," $5,672 "," $196,903 ",106,106,119,1395,474
35," $63,509 "," $98,330 "," $117,194 "," $80,287 "," $9,683 "," $369,003 "," $14,925 "," $42,282 "," $73,246 "," $65,674 "," $7,921 "," $204,048 ",264,88,106,1305,400
36," $48,575 "," $98,769 "," $94,805 "," $64,830 "," $12,480 "," $319,458 "," $11,415 "," $42,471 "," $59,253 "," $53,031 "," $10,209 "," $176,378 ",117,117,138,997,833
37," $63,223 "," $78,060 "," $100,100 "," $82,723 "," $10,716 "," $334,821 "," $14,857 "," $33,566 "," $62,563 "," $67,667 "," $8,765 "," $187,418 ",129,129,154,1735,956
38," $67,162 "," $86,473 "," $95,260 "," $60,407 "," $6,866 "," $316,167 "," $15,783 "," $37,183 "," $59,537 "," $49,413 "," $5,616 "," $167,533 ",286,107,175,1614,1236
39," $57,781 "," $98,052 "," $123,001 "," $101,979 "," $6,019 "," $386,831 "," $13,579 "," $42,162 "," $76,875 "," $83,418 "," $4,924 "," $220,958 ",78,78,32,1111,245
40," $67,520 "," $89,292 "," $87,192 "," $102,269 "," $9,592 "," $355,864 "," $15,867 "," $38,395 "," $54,495 "," $83,656 "," $7,846 "," $200,260 ",276,92,85,1166,367
41," $68,234 "," $80,100 "," $95,942 "," $128,238 "," $6,106 "," $378,620 "," $16,035 "," $34,443 "," $59,964 "," $104,899 "," $4,995 "," $220,335 ",162,81,44,1422,320
42," $66,533 "," $99,966 "," $108,192 "," $89,407 "," $9,191 "," $373,289 "," $15,635 "," $42,985 "," $67,620 "," $73,135 "," $7,518 "," $206,894 ",330,110,121,1602,475
43," $48,471 "," $119,390 "," $104,521 "," $89,886 "," $12,043 "," $374,310 "," $11,391 "," $51,338 "," $65,325 "," $73,526 "," $9,851 "," $211,431 ",300,100,110,1380,412
44," $62,664 "," $85,309 "," $114,338 "," $111,404 "," $11,260 "," $384,974 "," $14,726 "," $36,683 "," $71,461 "," $91,128 "," $9,211 "," $223,209 ",222,74,33,1091,247
